"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"602","H2CA06259",2022,"C00536680",235270
"603","H2CA06309",2022,"C00768077",239497
"604","H2CA06317",2022,"C00783456",241305
"605","H2CA06325",2022,"C00805234",243669
"606","H2CA06333",2022,"C00815100",244865
"607","H2CA07125",2022,"C00787291",241774
"608","H2CA07133",2022,"C00787549",241783
"609","H2CA07141",2022,"C00802280",243260
"610","H2CA08214",2022,"C00765461",239248
"611","H2CA08222",2022,"C00801647",243217
"612","H2CA08230",2022,"C00802744",243325
"613","H2CA08248",2022,"C00803536",243448
"614","H2CA08255",2022,"C00807271",243879
"615","H2CA09121",2022,"C00784900",241533
"616","H2CA09139",2022,"C00798652",245520
"617","H2CA09139",2022,"C00792168",242172
"618","H2CA09147",2022,"C00805325",243670
"619","H2CA09154",2022,"C00806430",243805
